DDB_G0268790	DDB_G0268790
DDB_G0268792	gtaF
DDB_G0268794	bub2
DDB_G0268796	DDB_G0268796
DDB_G0268798	DDB_G0268798
DDB_G0268800	DDB_G0268800
DDB_G0268802	gpaJ
DDB_G0268806	DDB_G0268806_ps
DDB_G0268808	DDB_G0268808
DDB_G0268810	DDB_G0268810
DDB_G0268812	DDB_G0268812
DDB_G0268814	DDB_G0268814
DDB_G0268816	DDB_G0268816
DDB_G0268818	DDB_G0268818
DDB_G0268820	DDB_G0268820
DDB_G0268822	DDB_G0268822
DDB_G0268824	DDB_G0268824
DDB_G0268826	DDB_G0268826
DDB_G0268828	DDB_G0268828
DDB_G0268830	DDB_G0268830
DDB_G0268832	DDB_G0268832
DDB_G0268834	DDB_G0268834
DDB_G0268836	DDB_G0268836
DDB_G0268838	DDB_G0268838
DDB_G0268840	atg10
DDB_G0268842	DDB_G0268842
DDB_G0268844	DDB_G0268844
DDB_G0268846	DDB_G0268846
DDB_G0268848	DDB_G0268848
DDB_G0268850	DDB_G0268850
DDB_G0268852	DDB_G0268852
DDB_G0268854	gnt4
DDB_G0268856	DDB_G0268856
DDB_G0268858	DDB_G0268858
DDB_G0268860	rngB
DDB_G0268862	DDB_G0268862
DDB_G0268864	DDB_G0268864
DDB_G0268866	DDB_G0268866
DDB_G0268868	nat10
DDB_G0268870	DDB_G0268870
DDB_G0268872	DDB_G0268872
DDB_G0268874	DDB_G0268874
DDB_G0268876	DDB_G0268876
DDB_G0268878	DDB_G0268878
DDB_G0268880	atxn10
DDB_G0268882	DDB_G0268882
DDB_G0268884	DDB_G0268884
DDB_G0268886	vps13E
DDB_G0268888	zizD
DDB_G0268890	aplJ
DDB_G0268892	DDB_G0268892
DDB_G0268894	DDB_G0268894
DDB_G0268896	DDB_G0268896
DDB_G0268898	wdr75
DDB_G0268900	DDB_G0268900
DDB_G0268902	DDB_G0268902
DDB_G0268904	DDB_G0268904
DDB_G0268906	DDB_G0268906
DDB_G0268908	racK_ps
DDB_G0268910	rabT1
DDB_G0268914	DDB_G0268914
DDB_G0268916	DDB_G0268916
DDB_G0268918	DDB_G0268918
DDB_G0268920	mef2A
DDB_G0268922	DDB_G0268922
DDB_G0268924	DDB_G0268924
DDB_G0268926	DDB_G0268926_ps
DDB_G0268928	DDB_G0268928
