	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B21	0	276528.0	10588	3	3	3	205993.0	9603	276528.0	10588	205993.0	276528.0	276528.0	212641.53386998785	0.2959822	77.63	0.980459675239115	0.4928902836118201	0	3.461405095584647e-09	0.9734860126101311	0.9729006886482239	0.9823797219539031
HEK293T_B22	0	168326.0	9539	2	0	0	122182.0	8480	168326.0	9539	122182.0	168326.0	168326.0	212051.92534130198	0.28179842	62.93	0.9500045412594421	0.45609434577539965	0	9.874852329426654e-07	0.002292661575768457	0.9030042886734009	0.9193030429373559
HEK293T_B23	0	205545.0	10339	2	0	0	139884.0	9069	205545.0	10339	139884.0	205545.0	205545.0	211605.13316791944	0.22010905	69.5	0.9243811240414334	0.5377050024628958	0	1.404993241448826e-07	0.00985235759003569	0.9734233021736145	0.9156192857515165
HEK293T_B24	0	190965.0	9572	1	1	1	142508.0	8872	190965.0	9572	142508.0	190965.0	190965.0	213792.11650302412	0.20064849	65.47	0.9062999130610386	0.5735668486779497	0	3.3540203669527642e-06	0.0005418547994497553	0.36780598759651184	0.6697777546841762
HEK293T_B25	0	194983.0	10076	1	4	4	95894.0	8339	194983.0	10076	95894.0	194983.0	194983.0	213212.17160470402	0.4633427	47.43	0.7419091472071602	0.2605659838075968	0	5.61490899494547e-06	0.0009694493984790371	0.6062032580375671	0.8121108587264938
HEK293T_B26	0	239435.0	10009	3	1	1	144444.0	8880	239435.0	10009	144444.0	239435.0	239435.0	213377.65313341824	0.05567211	79.09	0.9288281181101793	0.7064718038448623	0	0.019574698177537347	0.000490810156797871	0.2770526707172394	0.5296156644319309
HEK293T_B27	0	285294.0	10494	3	2	2	186887.0	9332	285294.0	10494	186887.0	285294.0	285294.0	213781.3637931397	0.1476171	53.46	0.9710255029939169	0.6281845874776791	0	0.9205364960857048	1.9437569202006313e-09	0.006392466835677624	0.006443864075381735
HEK293T_B28	0	267286.0	9808	1	1	1	106451.0	8492	267286.0	9808	106451.0	267286.0	267286.0	212495.50449705555	0.14897722	67.06	0.9154716367702147	0.6294699483309216	0	3.947753997631054e-06	0.0005030072556325095	0.35770151019096375	0.642084591922403
HEK293T_B29	0	210157.0	9925	2	3	3	120474.0	8760	210157.0	9925	120474.0	210157.0	210157.0	210682.1555503742	0.22112834	80.64	0.9754019526816536	0.5663764462089403	0	3.6968433455377704e-08	0.16218352270212544	0.9747726321220398	0.9988105323384296
HEK293T_B30	0	303257.0	10819	3	1	1	173663.0	9684	303257.0	10819	173663.0	303257.0	303257.0	213607.25646893558	0.018971682	83.43	0.9085950661526109	0.7796046857823159	0	0.03671686567731074	0.0004903643455414123	0.14026284217834473	0.4641019952798477
