	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_B05	0	235264.0	10129	2	0	0	175923.0	9088	235264.0	10129	235264.0	175923.0	235264.0	212753.1026803931	0.34302595	63.95	0.9369383574173376	0.3984755696662124	0	2.1255733214675018e-06	0.00037271484964991055	0.894878089427948	0.876045271019816
HEK293T_B06	0	236704.0	10189	3	1	1	165510.0	9287	236704.0	10189	236704.0	165510.0	236704.0	214002.47935818575	0.0	86.31	0.9320719405747875	0.7831452332325869	0	0.05662962947605384	0.00041029354073485484	0.11424794793128967	0.3791822845921639
HEK293T_B07	0	237762.0	10359	3	0	0	172468.0	9209	237762.0	10359	237762.0	172468.0	237762.0	211252.0033436798	0.25534475	81.16	0.9736152942327125	0.5351927981204392	0	2.4197310546741005e-08	0.14293135959557088	0.992449164390564	0.9620353265160293
HEK293T_B08	0	208585.0	9626	2	0	0	69753.0	7841	208585.0	9626	208585.0	69753.0	208585.0	212035.85661001512	0.21775246	63.18	0.9592776864318671	0.5316236799399165	0	1.1540049525594969e-07	0.005532522875520373	0.9182758927345276	0.8862700190187405
HEK293T_B09	0	286950.0	10560	2	0	0	208988.0	9762	286950.0	10560	286950.0	208988.0	286950.0	212104.8699320439	0.20350373	81.1	0.8749563526029273	0.5734855357705141	0	1.1648441805162403e-05	0.03836454717488193	0.8734396696090698	0.9150811547390215
HEK293T_B10	0	297683.0	10831	1	2	2	236739.0	9782	297683.0	10831	297683.0	236739.0	297683.0	213713.16580725132	0.23375005	79.32	0.608473722850048	0.5469103383059338	0	0.0003457661278362705	0.006500734952863996	0.46498069167137146	0.7256490502421116
HEK293T_B11	0	189429.0	10100	2	0	0	139433.0	8906	189429.0	10100	189429.0	139433.0	189429.0	212122.06512202462	0.25663233	62.71	0.95107631775395	0.4860285307555494	0	2.5911061894751145e-07	0.003506454887001307	0.9102534055709839	0.8772495902109906
HEK293T_B12	0	247329.0	10339	1	4	4	154441.0	9222	247329.0	10339	247329.0	154441.0	247329.0	213240.65228096987	0.36599272	61.07	0.8275644660870727	0.4141293495118932	0	5.4060729173976164e-06	0.0008107961542980697	0.40510478615760803	0.7390598469941031
HEK293T_B13	0	154786.0	9343	3	1	1	70518.0	7846	154786.0	9343	154786.0	70518.0	154786.0	213248.9224929903	0.055743575	79.09	0.9288845932235216	0.7061672984228641	0	0.019519674056129404	0.0004940618256917541	0.25559884309768677	0.5314431406951549
HEK293T_B14	0	191779.0	9801	1	1	1	146313.0	8944	191779.0	9801	191779.0	146313.0	191779.0	213929.6580908233	0.06901139	70.87	0.9040750789001096	0.7249578953343273	0	6.470141456653057e-06	0.0005026385500989385	0.3397577106952667	0.5870498514973297
HEK293T_B15	0	371663.0	10914	3	3	3	214283.0	9680	371663.0	10914	371663.0	214283.0	371663.0	212469.51009113094	0.78954834	76.8	0.9808499310360912	-0.3596037153051275	0	2.2603360630777206e-09	0.9994501643309759	0.9816088080406189	0.9729429928435464
HEK293T_B16	0	234322.0	10265	3	3	3	116407.0	8888	234322.0	10265	234322.0	116407.0	234322.0	212224.1485861336	0.44071487	77.69	0.9871186871593369	0.33450851438226714	0	4.111008942466852e-09	0.9954116625308295	0.9884781241416931	0.9914172692965623
HEK293T_B17	0	215326.0	10199	1	4	4	139749.0	9084	215326.0	10199	215326.0	139749.0	215326.0	213653.09361619127	0.28077275	58.15	0.8418959296322049	0.4821015372674036	0	1.8424595413209285e-06	0.000617237818787818	0.4053996801376343	0.7263562196832751
HEK293T_B18	0	172709.0	9419	3	1	1	78888.0	7980	172709.0	9419	172709.0	78888.0	172709.0	213264.18511484636	0.14608455	67.18	0.907419568987826	0.6331171674743844	0	3.5475582016141154e-06	0.0005227559924813647	0.3590465188026428	0.6385746271337945
HEK293T_B19	0	160039.0	8972	1	1	1	87807.0	7843	160039.0	8972	160039.0	87807.0	160039.0	214403.3400296178	0.10840583	70.09	0.9234658973776705	0.6816470171139909	0	5.0654343335288685e-06	0.0004485706625262431	0.35768619179725647	0.6131690480421601
